uniq_id,ip_address,campaign,station,created_at,updated_at,city,state,user_agent,referral
mV9xylq6BzDklA==,24.187.225.78,tmpg_03102016,tmpg,58:58.0,58:58.0,Stamford,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",http://tmpg.com/
3lIbUPYik3w64Q==,108.41.23.150,tmpg_03102016,tmpg,03:21.8,03:21.8,Brewster,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",http://tmpg.com/
su7MqRzuvqxlLA==,108.41.23.150,tmpg_03102016,tmpg,03:45.3,03:45.3,Brewster,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",http://tmpg.com/
YvRyV9aBfgRXbw==,108.41.23.150,promoclick_03102016,promoc,03:52.5,03:52.5,Brewster,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",http://promoclicksweeps.com/
CudJRSFZB6oV8A==,132.3.29.80,tmpg_03102016,tmpg,14:20.1,14:20.1,Hampton,,Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko,http://tmpg.com/
Qf27+2KC+5loIg==,132.3.29.78,tmpg_03102016,tmpg,14:49.6,14:49.6,Hampton,,Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko,http://tmpg.com/
urDBrbej1xITEw==,68.195.219.114,tmpg_03102016,tmpg,26:48.3,26:48.3,Garrison,,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",http://tmpg.com/contact-us/
NOicKJecoVqu9g==,24.227.216.226,tmpg_03102016,tmpg,31:48.5,31:48.5,Austin,,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",http://tmpg.com/
YzFuHdN0iHWi5Q==,24.227.216.226,tmpg_03102016,tmpg,31:50.4,31:50.4,Austin,,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",http://tmpg.com/
+G1TgVpVi2AYOg==,24.227.216.226,tmpg_03102016,tmpg,32:39.9,32:39.9,Austin,,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",http://tmpg.com/contact-us/
,,,,53:52.7,53:52.7,,,,
sPCiFP2B+UiCBQ==,52.90.248.81,ricola_03072016,tmpgj5tp,04:36.6,04:36.6,Ashburn,Virginia,Slack-ImgProxy 0.66 (+https://api.slack.com/robots),
