"id","ip_address","campaign","station","created_at","city","state","user_agent","referral","banner_size"
1,"66.162.103.66","tmpg_03102016","tmpg","2016-04-27 20:10:09.762431","Denver","Colorado","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36","http://tmpg.com/",
2,"66.162.103.66","tmpg_03102016","tmpg","2016-04-27 20:10:15.716974","Denver","Colorado","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36","http://tmpg.com/contact-us/",
3,"66.162.103.66","tmpg_03102016","tmpg","2016-04-27 20:10:28.238603","Denver","Colorado","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36","http://tmpg.com/",
4,"66.162.103.66","tmpg_03102016","tmpg","2016-04-27 20:10:41.265383","Denver","Colorado","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36","http://tmpg.com/contact-us/",
5,"100.9.164.18","ag_04202016","OXNARD-KHAY-FM","2016-04-27 20:12:52.637044","Los Angeles","California","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko","http://khay.tunegenie.com/music/_framed_ad/kenny-chesney/greatest-hits-ii/out-last-night/?pagename=onair&size=300x250&b=khay&sid=355010117","300x250"
6,"170.20.96.3","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-27 20:15:35.519709","Toluca Lake","California","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36",,"300x250"
7,"170.20.96.3","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-27 20:15:46.566492","Toluca Lake","California","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36",,"300x250"
8,"74.100.2.202","ag_04202016","OXNARD-KHAY-FM","2016-04-27 20:21:01.335844","Thousand Oaks","California","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.87 Safari/537.36","http://www.khay.com/","300x250"
9,"74.100.2.202","ag_04202016","OXNARD-KHAY-FM","2016-04-27 20:21:01.340686","Thousand Oaks","California","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.87 Safari/537.36","http://www.khay.com/","728x90"
10,"108.0.186.6","ag_04202016","OXNARD-KHAY-FM","2016-04-27 20:24:25.470259","Oxnard","California","Mozilla/5.0 (Windows NT 5.1; rv:45.0) Gecko/20100101 Firefox/45.0","http://www.khay.com/","728x90"
11,"71.177.58.68","tmpg_03102016","tmpg","2016-04-27 20:30:19.804482","Camarillo","California","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/601.5.17 (KHTML, like Gecko) Version/9.1 Safari/601.5.17","http://tmpg.com/",
12,"100.9.164.18","ag_04202016","OXNARD-KHAY-FM","2016-04-27 20:33:27.543069","Los Angeles","California","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko","http://khay.tunegenie.com/music/_framed_ad/kenny-chesney/greatest-hits-ii/out-last-night/?pagename=onair&size=300x250&b=khay&sid=355010117","300x250"
13,"173.51.248.78","ag_04202016","OXNARD-KHAY-FM","2016-04-27 20:38:33.408934","Camarillo","California","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36","http://www.951kbby.com/","160x600"
14,"173.51.248.78","ag_04202016","OXNARD-KHAY-FM","2016-04-27 20:38:36.888858","Camarillo","California","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36","http://www.951kbby.com/","300x250"
15,"173.51.248.78","ag_04202016","OXNARD-KHAY-FM","2016-04-27 20:39:11.084435","Camarillo","California","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36","http://www.951kbby.com/2016/04/21/superstar-artist-prince-has-passed/?1732","728x90"
16,"100.9.164.18","ag_04202016","OXNARD-KHAY-FM","2016-04-27 20:45:24.701944","Los Angeles","California","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko","http://khay.tunegenie.com/music/_framed_ad/kenny-chesney/greatest-hits-ii/out-last-night/?pagename=onair&size=300x250&b=khay&sid=355010117","300x250"
17,"104.57.188.207","ag_04202016","OXNARD-KHAY-FM","2016-04-27 20:48:55.504576","Austin","Texas","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.5.17 (KHTML, like Gecko) Version/9.1 Safari/601.5.17",,"160x600"
18,"104.57.188.207","ag_04202016","OXNARD-KHAY-FM","2016-04-27 20:48:55.516929","Austin","Texas","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.5.17 (KHTML, like Gecko) Version/9.1 Safari/601.5.17",,"728x90"
19,"104.57.188.207","ag_04202016","OXNARD-KHAY-FM","2016-04-27 20:48:55.835889","Austin","Texas","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.5.17 (KHTML, like Gecko) Version/9.1 Safari/601.5.17",,"300x250"
20,"100.9.164.18","ag_04202016","OXNARD-KHAY-FM","2016-04-27 20:51:19.927037","Los Angeles","California","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko","http://khay.tunegenie.com/music/_framed_ad/kenny-chesney/greatest-hits-ii/out-last-night/?pagename=onair&size=300x250&b=khay&sid=355010117","300x250"
21,"107.204.105.47","ag_04202016","OXNARD-KHAY-FM","2016-04-27 20:55:40.815182","Westlake Village","California","Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 AOL/9.7 AOLBuild/4343.4043.US Safari/537.36","http://www.khay.com/","300x250"
22,"107.204.105.47","ag_04202016","OXNARD-KHAY-FM","2016-04-27 20:55:47.254377","Westlake Village","California","Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 AOL/9.7 AOLBuild/4343.4043.US Safari/537.36","http://khay.tunegenie.com/music/_framed_ad/_/_/_/?pagename=hours&size=300x250&b=khay","300x250"
23,"108.0.186.6","ag_04202016","OXNARD-KHAY-FM","2016-04-27 20:56:59.01585","Oxnard","California","Mozilla/5.0 (Windows NT 5.1; rv:45.0) Gecko/20100101 Firefox/45.0","http://www.khay.com/","728x90"
24,"107.204.105.47","ag_04202016","OXNARD-KHAY-FM","2016-04-27 20:57:30.266168","Westlake Village","California","Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 AOL/9.7 AOLBuild/4343.4043.US Safari/537.36","http://www.khay.com/","300x250"
25,"107.204.105.47","ag_04202016","OXNARD-KHAY-FM","2016-04-27 20:57:30.413251","Westlake Village","California","Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 AOL/9.7 AOLBuild/4343.4043.US Safari/537.36","http://www.khay.com/","728x90"
26,"69.3.57.90","ag_04202016","OXNARD-KHAY-FM","2016-04-27 20:57:35.562346","Los Angeles","California","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:45.0) Gecko/20100101 Firefox/45.0","http://www.khay.com/","728x90"
27,"128.111.242.74","ag_04202016","OXNARD-KHAY-FM","2016-04-27 21:02:47.910399","Santa Barbara","California","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0","http://www.khay.com/","728x90"
28,"128.111.242.74","ag_04202016","OXNARD-KHAY-FM","2016-04-27 21:02:51.414753","Santa Barbara","California","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0","http://www.khay.com/","300x250"
